종목코드,종목명,시장,업종,현재가,전일대비,등락률,갱신시각
041590,플래스크,코스닥,실내건축 및 건축마무리 공사업,2370,0,0.00,2026-09-16 08:41
041650,상신브레이크,유가,자동차 신품 부품 제조업,2165,0,0.00,2026-09-16 08:41
041830,인바디,코스닥,의료용 기기 제조업,58300,0,0.00,2026-09-16 08:41
041910,폴라리스AI파마,코스닥,의약품 제조업,5500,0,0.00,2026-09-16 08:41
041920,메디아나,코스닥,의료용 기기 제조업,8180,0,0.00,2026-09-16 08:41
041930,SY동아,코스닥,고무제품 제조업,4990,0,0.00,2026-09-16 08:41
041960,코미팜,코스닥,의약품 제조업,9820,0,0.00,2026-09-16 08:41
042000,카페24,코스닥,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",15760,0,0.00,2026-09-16 08:41
042040,케이피엠테크,코스닥,기타 전문 도매업,4540,0,0.00,2026-09-16 08:41
042110,에스씨디,코스닥,가정용 기기 제조업,999,0,0.00,2026-09-16 08:41
042370,비츠로테크,코스닥,기타 금융업,8480,0,0.00,2026-09-16 08:41
042420,네오위즈홀딩스,코스닥,소프트웨어 개발 및 공급업,24150,0,0.00,2026-09-16 08:41
042500,링네트,코스닥,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",4275,0,0.00,2026-09-16 08:41
042510,라온시큐어,코스닥,소프트웨어 개발 및 공급업,12960,0,0.00,2026-09-16 08:41
042520,한스바이오메드,코스닥,의료용품 및 기타 의약 관련제품 제조업,18900,0,0.00,2026-09-16 08:41
042600,새로닉스,코스닥,전자부품 제조업,12280,0,0.00,2026-09-16 08:41
042660,한화오션,유가,선박 및 보트 건조업,82400,0,0.00,2026-09-16 08:41
042700,한미반도체,유가,특수 목적용 기계 제조업,222500,0,0.00,2026-09-16 08:41
042940,상지건설,코스닥,건물 건설업,5730,0,0.00,2026-09-16 08:41
043100,알파AI,코스닥,의료용 기기 제조업,520,0,0.00,2026-09-16 08:41
043150,바텍,코스닥,의료용 기기 제조업,17560,0,0.00,2026-09-16 08:41
043200,파루,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1170,0,0.00,2026-09-16 08:41
043220,티에스넥스젠,코스닥,특수 목적용 기계 제조업,1710,0,0.00,2026-09-16 08:41
043260,성호전자,코스닥,전자부품 제조업,16810,0,0.00,2026-09-16 08:41
043340,에쎈테크,코스닥,일반 목적용 기계 제조업,820,0,0.00,2026-09-16 08:41
043360,디지아이,코스닥,컴퓨터 및 주변장치 제조업,2525,0,0.00,2026-09-16 08:41
043370,피에이치에이,코스닥,자동차 신품 부품 제조업,11000,0,0.00,2026-09-16 08:41
043590,웰킵스하이텍,코스닥,반도체 제조업,1479,0,0.00,2026-09-16 08:41
043610,KT지니뮤직,코스닥,영상·오디오물 제공 서비스업,1201,0,0.00,2026-09-16 08:41
043650,국순당,코스닥,알코올음료 제조업,3605,0,0.00,2026-09-16 08:41
043710,코스리거글로벌,코스닥,기타 전문 도매업,3060,0,0.00,2026-09-16 08:41
043910,자연과환경,코스닥,"시멘트, 석회, 플라스터 및 그 제품 제조업",3360,0,0.00,2026-09-16 08:41
044180,KD,코스닥,건물 건설업,205,0,0.00,2026-09-16 08:41
044340,위닉스,코스닥,가정용 기기 제조업,2965,0,0.00,2026-09-16 08:41
044380,주연테크,유가,컴퓨터 및 주변장치 제조업,495,0,0.00,2026-09-16 08:41
044450,KSS해운,유가,해상 운송업,9960,0,0.00,2026-09-16 08:41
044480,빌리언스,코스닥,창작 및 예술관련 서비스업,3420,0,0.00,2026-09-16 08:41
044490,태웅,코스닥,기타 금속 가공제품 제조업,38350,0,0.00,2026-09-16 08:41
044780,에이치케이,코스닥,특수 목적용 기계 제조업,1382,0,0.00,2026-09-16 08:41
044820,코스맥스비티아이,유가,기타 금융업,23950,0,0.00,2026-09-16 08:41
044960,이글벳,코스닥,기타 전문 도매업,3135,0,0.00,2026-09-16 08:41
044990,에이치엔에스하이텍,코스닥,전자부품 제조업,10480,0,0.00,2026-09-16 08:41
045060,오공,코스닥,기타 화학제품 제조업,2100,0,0.00,2026-09-16 08:41
045100,한양이엔지,코스닥,"건축기술, 엔지니어링 및 관련 기술 서비스업",28550,0,0.00,2026-09-16 08:41
045300,성우테크론,코스닥,전자부품 제조업,2705,0,0.00,2026-09-16 08:41
045340,토탈소프트,코스닥,소프트웨어 개발 및 공급업,6860,0,0.00,2026-09-16 08:41
045390,대아티아이,코스닥,기타 전기장비 제조업,3255,0,0.00,2026-09-16 08:41
045510,정원엔시스,코스닥,기계장비 및 관련 물품 도매업,1131,0,0.00,2026-09-16 08:41
045520,크린앤사이언스,코스닥,일반 목적용 기계 제조업,3240,0,0.00,2026-09-16 08:41
045660,에이텍,코스닥,일반 목적용 기계 제조업,8860,0,0.00,2026-09-16 08:41
045970,코아시아,코스닥,전자부품 제조업,3270,0,0.00,2026-09-16 08:41
046070,코다코,코스닥,자동차 신품 부품 제조업,229,0,0.00,2026-09-16 08:41
046120,오르비텍,코스닥,기타 과학기술 서비스업,5700,0,0.00,2026-09-16 08:41
046210,HLB파나진,코스닥,의료용품 및 기타 의약 관련제품 제조업,1170,0,0.00,2026-09-16 08:41
046310,백금T&A,코스닥,통신 및 방송 장비 제조업,2170,0,0.00,2026-09-16 08:41
046390,삼화네트웍스,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업",2070,0,0.00,2026-09-16 08:41
046440,KG파이낸셜,코스닥,소프트웨어 개발 및 공급업,4160,0,0.00,2026-09-16 08:41
046890,서울반도체,코스닥,반도체 제조업,9570,0,0.00,2026-09-16 08:41
046940,우원개발,코스닥,기반조성 및 시설물 축조관련 전문공사업,2775,0,0.00,2026-09-16 08:41
046970,우리로,코스닥,기타 전문 도매업,7110,0,0.00,2026-09-16 08:41
047040,대우건설,유가,건물 건설업,19130,0,0.00,2026-09-16 08:41
047050,포스코인터내셔널,유가,상품 중개업,54900,0,0.00,2026-09-16 08:41
047080,한빛소프트,코스닥,소프트웨어 개발 및 공급업,1089,0,0.00,2026-09-16 08:41
047310,파워로직스,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2930,0,0.00,2026-09-16 08:41
047400,유니온머티리얼,유가,"내화, 비내화 요업제품 제조업",938,0,0.00,2026-09-16 08:41
047560,이스트소프트,코스닥,소프트웨어 개발 및 공급업,7800,0,0.00,2026-09-16 08:41
047770,코데즈컴바인,코스닥,봉제의복 제조업,3535,0,0.00,2026-09-16 08:41
047810,한국항공우주,유가,"항공기,우주선 및 부품 제조업",129000,0,0.00,2026-09-16 08:41
047820,초록뱀미디어,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업",3330,0,0.00,2026-09-16 08:41
047920,HLB제약,코스닥,자연과학 및 공학 연구개발업,6700,0,0.00,2026-09-16 08:41
048410,현대바이오,코스닥,기타 화학제품 제조업,6420,0,0.00,2026-09-16 08:41
048430,유라테크,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",6200,0,0.00,2026-09-16 08:41
048470,대동스틸,코스닥,기타 전문 도매업,2810,0,0.00,2026-09-16 08:41
048530,인트론바이오,코스닥,기초 의약물질 제조업,2860,0,0.00,2026-09-16 08:41
048550,SM C&C,코스닥,광고업,1095,0,0.00,2026-09-16 08:41
048770,TPC로보틱스,코스닥,일반 목적용 기계 제조업,4455,0,0.00,2026-09-16 08:41
048830,엔피케이,코스닥,합성고무 및 플라스틱 물질 제조업,1003,0,0.00,2026-09-16 08:41
048870,시너지이노베이션,코스닥,의료용 기기 제조업,1505,0,0.00,2026-09-16 08:41
048910,대원미디어,코스닥,기타 전문 도매업,6280,0,0.00,2026-09-16 08:41
049070,인탑스,코스닥,통신 및 방송 장비 제조업,18520,0,0.00,2026-09-16 08:41
049080,기가레인,코스닥,전자부품 제조업,8460,0,0.00,2026-09-16 08:41
049120,파인디앤씨,코스닥,전자부품 제조업,2920,0,0.00,2026-09-16 08:41
049180,셀루메드,코스닥,기초 의약물질 제조업,1009,0,0.00,2026-09-16 08:41
049430,코메론,코스닥,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",22400,0,0.00,2026-09-16 08:41
049470,비트플래닛,코스닥,소프트웨어 개발 및 공급업,2205,0,0.00,2026-09-16 08:41
049480,오픈베이스,코스닥,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1998,0,0.00,2026-09-16 08:41
049520,유아이엘,코스닥,전자부품 제조업,3815,0,0.00,2026-09-16 08:41
049550,잉크테크,코스닥,기타 화학제품 제조업,3445,0,0.00,2026-09-16 08:41
049630,재영솔루텍,코스닥,사진장비 및 광학기기 제조업,6880,0,0.00,2026-09-16 08:41
049720,고려신용정보,코스닥,기타 사업지원 서비스업,9010,0,0.00,2026-09-16 08:41
049800,우진플라임,유가,특수 목적용 기계 제조업,1850,0,0.00,2026-09-16 08:41
049830,승일,코스닥,기타 금속 가공제품 제조업,6360,0,0.00,2026-09-16 08:41
049950,미래컴퍼니,코스닥,특수 목적용 기계 제조업,10430,0,0.00,2026-09-16 08:41
049960,쎌바이오텍,코스닥,기초 의약물질 제조업,15630,0,0.00,2026-09-16 08:41
050090,비케이홀딩스,코스닥,광고업,900,0,0.00,2026-09-16 08:41
050110,캠시스,코스닥,전자부품 제조업,1079,0,0.00,2026-09-16 08:41
050120,ES큐브,코스닥,생활용품 도매업,3350,0,0.00,2026-09-16 08:41
050760,에스폴리텍,코스닥,플라스틱제품 제조업,1230,0,0.00,2026-09-16 08:41
050860,아세아텍,코스닥,특수 목적용 기계 제조업,1680,0,0.00,2026-09-16 08:41
050890,쏠리드,코스닥,통신 및 방송 장비 제조업,8750,0,0.00,2026-09-16 08:41
050960,수산아이앤티,코스닥,소프트웨어 개발 및 공급업,8570,0,0.00,2026-09-16 08:41
051160,지어소프트,코스닥,소프트웨어 개발 및 공급업,10130,0,0.00,2026-09-16 08:41
051360,토비스,코스닥,영상 및 음향기기 제조업,11980,0,0.00,2026-09-16 08:41
051370,인터플렉스,코스닥,전자부품 제조업,6270,0,0.00,2026-09-16 08:41
051380,피씨디렉트,코스닥,기계장비 및 관련 물품 도매업,1572,0,0.00,2026-09-16 08:41
